team_1,team_2,team_1_out,team_2_out,Team_1_win_%,Team_2_win_%,homeTeam,date,winner
76ers,Celtics,"['Julian Champagnie', ' Michael Foster Jr.']","['Danilo Gallinari', ' Robert Williams III']",0.0,1.0,Celtics,2022-10-18,Celtics
Lakers,Warriors,"['Troy Brown Jr.', ' Thomas Bryant', ' Dennis Schroder']","['Ty Jerome', ' Anthony Lamb', ' Andre Iguodala']",0.0,1.0,Warriors,2022-10-18,Warriors
Magic,Pistons,"['Markelle Fultz', ' Gary Harris', ' Moritz Wagner', ' Jonathan Isaac']","['Isaiah Livers', ' Alec Burks', ' Marvin Bagley III']",0.0,1.0,Pistons,2022-10-19,Pistons
Wizards,Pacers,"['Corey Kispert', ' Vernon Carey Jr.']","['Daniel Theis', ' Trevelin Queen']",1.0,0.0,Pacers,2022-10-19,Wizards
Rockets,Hawks,"[""Jae'Sean Tate"", ' Darius Days', ' TyTy Washington Jr.', ' Daishen Nix']",['Bogdan Bogdanovic'],0.0,1.0,Hawks,2022-10-19,Hawks
Pelicans,Nets,"['Kira Lewis Jr.', ' E.J. Liddell']","['Seth Curry', ' T.J. Warren', ' Joe Harris']",1.0,0.0,Nets,2022-10-19,Pelicans
Bulls,Heat,"['Lonzo Ball', ' Zach LaVine', ' Kostas Antetokounmpo']","['Victor Oladipo', ' Omer Yurtseven', ' Jamal Cain']",1.0,0.0,Heat,2022-10-19,Bulls
Cavaliers,Raptors,"['Ricky Rubio', ' Dylan Windler', ' Mamadi Diakite']","['Khem Birch', ' Chris Boucher', ' Otto Porter Jr.']",0.0,1.0,Raptors,2022-10-19,Raptors
Knicks,Grizzlies,"['Quentin Grimes', ' Trevor Keels']","['Ziaire Williams', ' Dillon Brooks', ' Jaren Jackson Jr.', ' Danny Green']",0.0,1.0,Grizzlies,2022-10-19,Grizzlies
Thunder,Timberwolves,"['Lindy Waters III', ' Chet Holmgren']",['Luka Garza'],0.0,1.0,Timberwolves,2022-10-19,Timberwolves
Hornets,Spurs,['LaMelo Ball'],"['Dominick Barlow', ' Jordan Hall']",1.0,0.0,Spurs,2022-10-19,Hornets
Nuggets,Jazz,"['Collin Gillespie', ' Jack White']","['Johnny Juzang', ' Udoka Azubuike']",0.0,1.0,Jazz,2022-10-19,Jazz
Mavericks,Suns,"['Tyler Dorsey', ' Facundo Campazzo', ' Davis Bertans', ' Frank Ntilikina']","['Landry Shamet', ' Jae Crowder']",0.0,1.0,Suns,2022-10-19,Suns
Trail Blazers,Kings,"['Trendon Watford', ' Gary Payton II', ' Olivier Sarr']","['Neemias Queta', ' Keegan Murray', ' Keon Ellis']",1.0,0.0,Kings,2022-10-19,Trail Blazers
Bucks,76ers,"['Joe Ingles', ' Khris Middleton', ' Pat Connaughton']","['Julian Champagnie', ' Michael Foster Jr.']",1.0,0.0,76ers,2022-10-20,Bucks
Clippers,Lakers,['Moussa Diabate'],"['Troy Brown Jr.', ' Dennis Schroder', ' Cole Swider', ' Thomas Bryant']",1.0,0.0,Lakers,2022-10-20,Clippers
Pelicans,Hornets,"['Kira Lewis Jr.', ' E.J. Liddell']","['LaMelo Ball', ' Cody Martin']",1.0,0.5,Hornets,2022-10-21,Pelicans
Spurs,Pacers,"['Dominick Barlow', ' Jordan Hall']","['Kendall Brown', ' Daniel Theis', ' Trevelin Queen']",0.5,0.0,Pacers,2022-10-21,Spurs
